,variables
0,time 
1, anomaly 
2, instance 
3, kube_pod_status_ready_0 
4, kube_pod_status_ready_1 
5, kube_pod_status_ready_2 
6, kube_pod_status_ready_3 
7, kube_pod_status_ready_4 
8, kube_pod_status_ready_5 
9, kube_pod_status_ready_6 
10, kube_pod_status_ready_7 
11, kube_pod_status_ready_8 
12, kube_pod_status_ready_9 
13, kube_pod_status_ready_10 
14, kube_pod_status_ready_11 
15, kube_pod_status_ready_12 
16, kube_pod_status_ready_13 
17, kube_pod_status_ready_14 
18, kube_pod_status_ready_15 
19, kube_pod_status_ready_16 
20, kube_pod_status_ready_17 
21, kube_pod_status_ready_18 
22, kube_pod_status_ready_19 
23, kube_pod_status_ready_20 
24, kube_pod_status_ready_21 
25, kube_pod_status_ready_22 
26, kube_pod_status_ready_23 
27, kube_pod_status_ready_24 
28, kube_pod_status_ready_25 
29, kube_pod_status_ready_26 
30, kube_pod_status_ready_27 
31, kube_pod_status_ready_28 
32, kube_pod_status_ready_29 
33, kube_pod_status_ready_30 
34, kube_pod_status_ready_31 
35, kube_pod_status_ready_32 
36, kube_pod_status_ready_33 
37, kube_pod_status_ready_34 
38, kube_pod_status_ready_35 
39, kube_pod_status_ready_36 
40, kube_pod_status_ready_37 
41, kube_pod_status_ready_38 
42, kube_pod_status_ready_39 
43, kube_pod_status_ready_40 
44, kube_pod_status_ready_41 
45, kube_pod_status_ready_42 
46, kube_pod_status_ready_43 
47, kube_pod_status_ready_44 
48, kube_pod_status_ready_45 
49, kube_pod_status_ready_46 
50, kube_pod_status_ready_47 
51, kube_pod_status_ready_48 
52, kube_pod_status_ready_49 
53, kube_pod_status_ready_50 
54, kube_pod_status_ready_51 
55, kube_pod_status_ready_52 
56, kube_pod_status_ready_53 
57, kube_pod_status_ready_54 
58, kube_pod_status_ready_55 
59, kube_pod_status_ready_56 
60, kube_pod_status_ready_57 
61, kube_pod_status_ready_58 
62, kube_pod_status_ready_59 
63, kube_pod_status_ready_60 
64, kube_pod_status_ready_61 
